ocel_id;ocel_time;ocel_changed_field;p_mass[kg];p_material[EN10130:2006];s_co2e[kg]
o_formedpart_4669;2023-04-06 08:28:02;p_mass[kg];0.02127;;
o_formedpart_4673;2023-04-06 08:28:13;p_mass[kg];0.02112;;
o_formedpart_4675;2023-04-06 08:28:24;;?;DC01;0
o_formedpart_4674;2023-04-06 08:28:32;;?;DC01;0
o_formedpart_4678;2023-04-06 08:28:38;;?;DC01;0
o_formedpart_4676;2023-04-06 08:28:55;;?;DC01;0
o_formedpart_4675;2023-04-06 08:28:59;p_mass[kg];0.02113;;
o_formedpart_4674;2023-04-06 08:29:07;p_mass[kg];0.02111;;
o_formedpart_4678;2023-04-06 08:29:14;p_mass[kg];0.02113;;
o_formedpart_4679;2023-04-06 08:29:24;;?;DC01;0
o_formedpart_4677;2023-04-06 08:29:24;;?;DC01;0
o_formedpart_4681;2023-04-06 08:29:27;;?;DC01;0
o_formedpart_4676;2023-04-06 08:29:30;p_mass[kg];0.02132;;
